lstm_hidden,mlp_hidden,num_layers,max_len,num_epochs,eagen_minus_time,eaforward_time,eye_time,bench_name,base_model_name,td,batch_size,state_dim,dataset_path,lr,weight_decay,beta,alpha,dropout,gamma,timestamp,action_length_mean,action_length_std,action_length_25%,action_length_75%,eye_speed_mean,eye_speed_std,eye_speed_25%,eye_speed_75%,avg_acc_lens_mean,avg_acc_lens_std,avg_acc_lens_25%,avg_acc_lens_75%,eagle_speed_mean,eagle_speed_std,eagle_speed_25%,eagle_speed_75%,optimal_avg_acc_lens_diff_mean,optimal_avg_acc_lens_diff_std,optimal_avg_acc_lens_diff_25%,optimal_avg_acc_lens_diff_75%,ratio
128,128,1,7,100,0.02707,0.001885,0.00028,shareGPT,llama3.1,t1d7,64,10,HASS/data/scores_rb/shareGPT-hass-llama3-d7-topk10-t1,0.0001,0.0001,0.002165,0.005,0.1,0.99,2026-03-29 23:09:24,2.1710794,0.994568,1.5,2.799999952316284,81.43067,33.94066,60.900917053222656,104.09252166748047,2.6731107,1.2538152,1.8798686861991882,3.4609928131103516,87.454475,53.33246,48.5101318359375,122.6384048461914,-0.84824324,1.2874688,-1.5483335852622986,0.0004546642303466797,0.9311207
128,128,1,7,100,0.02707,0.001885,0.00028,shareGPT,llama3.1,t1d7,64,10,HASS/data/scores_rb/shareGPT-hass-llama3-d7-topk10-t1,0.0001,0.0001,0.002165,0.001,0.1,0.99,2026-03-29 23:11:31,3.9578383,1.6285174,2.799999952316284,5.0,90.61105,46.58738,57.86602783203125,121.51566314697266,3.3670745,1.943079,1.9933128952980042,4.522036790847778,87.454475,53.33246,48.5101318359375,122.6384048461914,-0.15427926,0.6060035,-0.20621871948242188,0.04281356930732727,1.036094
128,128,1,7,100,0.02707,0.001885,0.00028,shareGPT,llama3.1,t1d7,64,10,HASS/data/scores_rb/shareGPT-hass-llama3-d7-topk10-t1,0.0001,0.0001,0.002165,0.006,0.1,0.99,2026-03-29 23:33:04,2.8193676,1.293368,2.0,3.4000000953674316,87.46795,40.388096,61.3640022277832,114.63304901123047,3.0152438,1.5981091,1.9720781445503235,3.9228676557540894,87.454475,53.33246,48.5101318359375,122.6384048461914,-0.5061101,1.0186474,-0.9138408899307251,0.02986609935760498,1.000154
128,128,1,7,100,0.02707,0.001885,0.00028,shareGPT,llama3.1,t1d7,64,10,HASS/data/scores_rb/shareGPT-hass-llama3-d7-topk10-t1,0.0001,0.0001,0.002165,0.002,0.1,0.99,2026-03-29 23:35:00,3.2360728,1.3891375,2.200000047683716,4.0,89.53848,43.043034,60.4744873046875,118.18584442138672,3.1749241,1.7289258,1.9936271905899048,4.143887758255005,87.454475,53.33246,48.5101318359375,122.6384048461914,-0.34642956,0.85344005,-0.6209638714790344,0.044802308082580566,1.0238296
128,128,1,7,100,0.02707,0.001885,0.00028,shareGPT,llama3.1,t1d7,64,10,HASS/data/scores_rb/shareGPT-hass-llama3-d7-topk10-t1,0.0001,0.0001,0.002165,0.007,0.1,0.99,2026-03-29 23:57:37,2.5980418,1.3091701,1.8000000715255737,3.200000047683716,86.00364,39.19099,60.75440216064453,112.88231658935547,2.92837,1.542463,1.9175902009010315,3.8552151918411255,87.454475,53.33246,48.5101318359375,122.6384048461914,-0.59298384,1.0908606,-1.0716887712478638,0.019306451082229614,0.98341036
128,128,1,7,100,0.02707,0.001885,0.00028,shareGPT,llama3.1,t1d7,64,10,HASS/data/scores_rb/shareGPT-hass-llama3-d7-topk10-t1,0.0001,0.0001,0.002165,0.003,0.1,0.99,2026-03-29 23:58:14,3.1393151,1.4177295,2.1000001430511475,4.0,89.25519,42.592712,60.559513092041016,117.62096405029297,3.1472685,1.7167975,1.982932209968567,4.087473392486572,87.454475,53.33246,48.5101318359375,122.6384048461914,-0.37408546,0.88592327,-0.6734888553619385,0.04292190074920654,1.0205903
128,128,1,7,100,0.02707,0.001885,0.00028,shareGPT,llama3.1,t1d7,64,10,HASS/data/scores_rb/shareGPT-hass-llama3-d7-topk10-t1,0.0001,0.0001,0.002165,0.008,0.1,0.99,2026-03-30 00:21:48,2.718291,1.4444778,1.899999976158142,3.4000000953674316,87.019844,40.64758,60.52285385131836,113.85726165771484,2.9954479,1.6378629,1.9118003249168396,3.905093193054199,87.454475,53.33246,48.5101318359375,122.6384048461914,-0.5259063,1.0376277,-0.9526746273040771,0.024022996425628662,0.9950302
128,128,1,7,100,0.02707,0.001885,0.00028,shareGPT,llama3.1,t1d7,64,10,HASS/data/scores_rb/shareGPT-hass-llama3-d7-topk10-t1,0.0001,0.0001,0.002165,0.004,0.1,0.99,2026-03-30 00:22:04,3.1369047,1.3761425,2.1000001430511475,4.0,89.1173,42.44912,60.437835693359375,117.47528076171875,3.142145,1.7011659,1.990713894367218,4.091312408447266,87.454475,53.33246,48.5101318359375,122.6384048461914,-0.37920886,0.8956213,-0.6869045495986938,0.04642748832702637,1.0190136
